date,slot_label,time_start,time_end,position_id,count
,ランチ,11:00,14:00,pos_hall,3
,ランチ,11:00,14:00,pos_kitchen,2
,ランチ,11:00,14:00,pos_drink,1
,ランチ,11:00,14:00,pos_cashier,1
,アイドル,14:00,17:00,pos_hall,1
,アイドル,14:00,17:00,pos_kitchen,1
,アイドル,14:00,17:00,pos_drink,1
,ディナー,17:00,22:00,pos_hall,6
,ディナー,17:00,22:00,pos_kitchen,4
,ディナー,17:00,22:00,pos_drink,2
,ディナー,17:00,22:00,pos_cashier,2
2026-11-07,ディナー,17:00,22:00,pos_hall,8
2026-11-07,ディナー,17:00,22:00,pos_kitchen,5
2026-11-07,ディナー,17:00,22:00,pos_drink,3
2026-11-07,ディナー,17:00,22:00,pos_cashier,2
